id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
"36","post","contact","","","no","Contact","69","","","","","{""Article"":{""@type"":""Article"",""headline"":""-"",""datePublished"":""%date(Y-m-dTH:i:sP)%"",""dateModified"":""%modified(Y-m-dTH:i:sP)%"",""author"":{""@type"":""Person"",""name"":""madbabe""},""description"":"" - "",""metadata"":{""title"":""Article"",""isPrimary"":true,""type"":""template""}}}","","","","","","","",""
"12639","post","better-blocker-2020-2","","","no","Better Blocker","90","","","","mac-cracked-apps","","","","","","","","",""
"12646","post","timeedition-2-2","","","no","TimeEdition","88","","","","mac-cracked-apps","","","","","","","","",""
"12662","post","aerate-pro-2-0-1","","","no","Aerate Pro","88","","","","mac-cracked-apps","","","","","","","","",""
"12663","post","virus-scanner-plus-3-14","","","no","Virus Scanner Plus","89","","","","mac-cracked-apps","","","","","","","","",""
"12676","post","mail-pilot-3-39-0","","","no","Mail Pilot","88","","","","mac-cracked-apps","","","","","","","","",""
"12685","post","basiccolor-input-6-0-0build2944","","","no","basICColor input","88","","","","mac-cracked-apps","","","","","","","","",""
"12688","post","expressions-1-3-3","","","no","Expressions","89","","","","mac-cracked-apps","","","","","","","","",""
"12701","post","native-instruments-creator-tools-1-2-0","","","no","Native Instruments Creator Tools","89","","","","mac-cracked-apps","","","","","","","","",""
"12712","post","aerial-1-7-0","","","no","Aerial","89","","","","mac-cracked-apps","","","","","","","","",""
"12713","post","devious-machines-pitch-monster-1-2-1","","","no","Devious Machines Pitch Monster","89","","","","mac-cracked-apps","","","","","","","","",""
"12725","post","red-giant-trapcode-particular-4-1-5","","","no","Red Giant Trapcode Particular","91","","","","mac-cracked-apps","","","","","","","","",""
"12726","post","wondershare-photo-cutter-1-0-7","","","no","Wondershare Photo Cutter","88","","","","mac-cracked-apps","","","","","","","","",""
"12748","post","image-crop-1-3-1","","","no","Image Crop","89","","","","mac-cracked-apps","","","","","","","","",""
"12756","post","boinx-mousepose-4-1","","","no","Boinx Mousepose","88","","","","mac-cracked-apps","","","","","","","","",""
"12767","post","paste-2-5-6","","","no","Paste","88","","","","mac-cracked-apps","","","","","","","","",""
